Rank,Model,Accuracy,Precision,Recall,F1 Score,True Negatives,False Positives,False Negatives,True Positives,Total Errors,Training Time (s),Prediction Time (s),Model Save Time (s),Model File,Status
1,XGBoost,0.9905605,0.9939493222978865,0.9871079162620265,0.9905168061844951,995168,6002,12877,985953,18879,180.07229419983923,2.697976100258529,0.05320120044052601,models\xgboost_10m.pkl,Completed
2,Random Forest,0.9905375,0.9942360437915413,0.9867735250242784,0.9904907286488595,995456,5714,13211,985619,18925,960.4033297998831,9.579902799800038,4.320537100080401,models\random_forest_10m.pkl,Completed
3,Linear SVM,0.990403,0.9940061844316112,0.9867334781694582,0.9903564796578695,995227,5943,13251,985579,19194,24.368095899932086,0.3445030995644629,0.03830450028181076,models\linear_svm_10m.pkl,Completed
4,Logistic Regression,0.989719,0.9952393102163472,0.9841214220638147,0.9896491420597613,996468,4702,15860,982970,20562,29.965332200285047,0.1387417996302247,0.009208300150930882,models\logistic_regression_10m.pkl,Completed
5,Decision Tree,0.989533,0.9928692678953757,0.9861237648048217,0.9894850201469304,994096,7074,13860,984970,20934,118.55660230014473,0.2340263999067247,0.031491400208324194,models\decision_tree_10m.pkl,Completed
